"Entity","Kind","Property"
"Dim_Cal","Column","Month"
"Dim_Cal","Column","Month Name"
"Dim_Cal","Measure","Current Fiscal Year"
"Dim_Cal","Measure","Last 2 Fiscal Year"
"Dim_Cal","Measure","Last Fiscal Year"
"Dim_Cal","Measure","Selected Products"
"Dim_Cal","Measure","Title Actual GP"
"Dim_Cal","Measure","Title Actual GP%"
"Dim_Cal","Measure","Title Actual Sales"
"Dim_Cal","Measure","Title GP 1"
"Dim_Cal","Measure","Title GP 2"
"Dim_Cust","Column","CITY"
"Dim_Cust","Column","Country"
"Dim_Cust","Column","Country Text"
"Dim_Cust","Column","Customer"
"Dim_Cust","Column","Customer Account Group Code"
"Dim_Cust","Column","Customer account group Text"
"Dim_Cust","Column","Customer Combined"
"Dim_Cust","Column","Customer Name"
"Dim_Cust","Column","Final Customer"
"Dim_Cust","Column","Final Location"
"Dim_Cust","Column","Final Name"
"Dim_Cust","Column","GPO Combined"
"Dim_Cust","Column","House number and street"
"Dim_Cust","Column","Language key"
"Dim_Cust","Column","Location"
"Dim_Cust","Column","Name 1"
"Dim_Cust","Column","Name 2"
"Dim_Cust","Column","Name 3"
"Dim_Cust","Column","NEW NAME"
"Dim_Cust","Column","New_SAP"
"Dim_Cust","Column","OLD NAME"
"Dim_Cust","Column","Postal Code"
"Dim_Cust","Column","Region (State, Province, County)"
"Dim_Cust","Column","Sort Field"
"Dim_Cust","Column","Source System"
"Dim_Cust","Column","Tax Number 1"
"Dim_Cust","Column","TIS Final Segmenation"
"dim_customer_market","Column","country_iso2"
"dim_customer_market","Column","country_text"
"dim_customer_market","Column","customer_id"
"dim_customer_market","Column","customer_id_"
"dim_customer_market","Column","customer_market_key"
"dim_customer_market","Column","customer_name"
"dim_procedure","Column","procedure_group"
"dim_procedure","Column","procedure_group_key"
"Dim_Product","Column","Business Line Text"
"Dim_Product","Column","Business Unit Text"
"Dim_Product","Column","Material"
"Dim_Product","Column","Material Code & Name"
"Dim_Product","Column","Material Description"
"Dim_Product","Column","Portfolio Category"
"Dim_Product","Column","Portfolio Category 2"
"Dim_Product","Column","Product Area"
"Dim_Product","Column","Product Area Code"
"Dim_Product","Column","Product Area Text"
"Dim_Product","Column","Product Group 1"
"Dim_Product","Column","Product Group 2"
"Dim_Product","Column","Product Group 3"
"Dim_Product","Column","Product Group Text"
"Dim_Product","Column","Product Hierarchy Code"
"Dim_Product","Column","Product Subgroup Text"
"Dim_Product","Column","Profit Center"
"Dim_Product","Column","Profit Center 2"
"Dim_Product","Column","Profit Center 3"
"dim_terumo_category","Column","terumo_category"
"dim_terumo_category","Column","terumo_category_key"
"fact_market_potential","Column","allocation_weight"
"fact_market_potential","Column","country_code"
"fact_market_potential","Column","country_iso2"
"fact_market_potential","Column","country_name"
"fact_market_potential","Column","country_text"
"fact_market_potential","Column","customer_id"
"fact_market_potential","Column","customer_id_"
"fact_market_potential","Column","customer_market_key"
"fact_market_potential","Column","customer_name"
"fact_market_potential","Column","customer_segment"
"fact_market_potential","Column","Final Destination"
"fact_market_potential","Column","Final Destination Text"
"fact_market_potential","Column","final_destination_key"
"fact_market_potential","Column","mapping_cardinality"
"fact_market_potential","Column","mapping_row_count"
"fact_market_potential","Column","potential_units"
"fact_market_potential","Column","procedure_group"
"fact_market_potential","Column","procedures"
"fact_market_potential","Column","qty_units_per_procedure"
"fact_market_potential","Column","region_group"
"fact_market_potential","Column","terumo_category"
"fact_market_potential","Column","terumo_category_key"
"fact_market_potential","Column","usage_rate_final"
"fact_market_potential","Column","year"
"fact_market_potential","Measure","MS Account Priority Score"
"fact_market_potential","Measure","MS Avg Price by Category"
"fact_market_potential","Measure","MS Benchmark Level"
"fact_market_potential","Measure","MS Benchmark Share %"
"fact_market_potential","Measure","MS Category Coverage"
"fact_market_potential","Measure","MS Category Priority Score"
"fact_market_potential","Measure","MS Category Revenue Share"
"fact_market_potential","Measure","MS Current vs Target Status"
"fact_market_potential","Measure","MS Customer Action Badge"
"fact_market_potential","Measure","MS Customer Category Mix"
"fact_market_potential","Measure","MS Customer Revenue Share"
"fact_market_potential","Measure","MS Customer Strength Badge"
"fact_market_potential","Measure","MS Estimated Share %"
"fact_market_potential","Measure","MS Mix Index"
"fact_market_potential","Measure","MS National Category Mix"
"fact_market_potential","Measure","MS National Realization Pct"
"fact_market_potential","Measure","MS Realization Index"
"fact_market_potential","Measure","MS Revenue Opportunity"
"fact_market_potential","Measure","MS Target RI Label"
"fact_market_potential","Measure","MS Target RI Value"
"fact_market_potential","Measure","MS Targetable Units"
"fact_market_potential","Measure","MS Units to Reach RI 100"
"fact_market_potential","Measure","MS Units to Reach RI 150"
"fact_market_potential","Measure","MS Units to Reach RI 50"
"fact_market_potential","Measure","MS Units to Reach RI 75"
"fact_market_potential","Measure","MS Units to Target"
"fact_market_potential","Measure","MS Weighted Opportunity Score"
"fact_market_potential","Measure","MS Whitespace Count"
"fact_market_potential","Measure","Pot Avg Price EUR"
"fact_market_potential","Measure","Pot Gap EUR"
"fact_market_potential","Measure","Pot Gap Units"
"fact_market_potential","Measure","Pot Potential Value EUR"
"fact_market_potential","Measure","Pot Realization %"
"fact_market_potential","Measure","Pot Realized Qty"
"fact_market_potential","Measure","Pot Realized Sales EUR"
"fact_market_potential","Measure","Pot Realized Sales EUR (DNA total)"
"fact_market_potential","Measure","Pot Total Potential Units"
"fact_market_potential","Measure","Pot Total Potential Units (2024)"
"fact_market_potential","Measure","Pot Total Procedures (dedup)"
"Final Destination","Column","Customer"
"Final Destination","Column","Customer Name"
"Final Destination","Column","Final Destination"
"Final Destination","Column","Final Destination Text"
"Final Destination","Column","Final_Material"
"Final Destination","Column","Fiscal year"
"Final Destination","Column","Index_Branch_CountryFinalDestination"
"Final Destination","Column","Net Sales Actual"
"Final Destination","Column","Net Sales Plan (EUR)"
"Final Destination","Column","Net Sales Qty Actual"
"Final Destination","Column","Net Sales Qty Plan"
"Final Destination","Column","Portfolio Category"
"Final Destination","Column","Portfolio Category 2"
"Final Destination","Column","Product Area Code"
"Final Destination","Column","Product Group 3"
"Final Destination","Column","Product Group Text"
"Final Destination","Column","Product Hierarchy Code"
"Final Destination","Column","Product Hierarchy Final"
"Final Destination","Column","Product Subgroup Text"
"Final Destination","Column","Profit Center"
"Final Destination","Column","Profit Center 3"
"Final Destination","Column","SalesAssignmentID"
"LocalDateTable_c4086591-00f1-4c37-a8f6-6e46f34cf448","Column","Date"
"LocalDateTable_c4086591-00f1-4c37-a8f6-6e46f34cf448","Column","Day"
"LocalDateTable_c4086591-00f1-4c37-a8f6-6e46f34cf448","Column","Month"
"LocalDateTable_c4086591-00f1-4c37-a8f6-6e46f34cf448","Column","MonthNo"
"LocalDateTable_c4086591-00f1-4c37-a8f6-6e46f34cf448","Column","Quarter"
"LocalDateTable_c4086591-00f1-4c37-a8f6-6e46f34cf448","Column","QuarterNo"
"LocalDateTable_c4086591-00f1-4c37-a8f6-6e46f34cf448","Column","Year"
"LocalDateTable_c48bd7eb-f36a-4c42-b30d-37d61778fd23","Column","Date"
"LocalDateTable_c48bd7eb-f36a-4c42-b30d-37d61778fd23","Column","Day"
"LocalDateTable_c48bd7eb-f36a-4c42-b30d-37d61778fd23","Column","Month"
"LocalDateTable_c48bd7eb-f36a-4c42-b30d-37d61778fd23","Column","MonthNo"
"LocalDateTable_c48bd7eb-f36a-4c42-b30d-37d61778fd23","Column","Quarter"
"LocalDateTable_c48bd7eb-f36a-4c42-b30d-37d61778fd23","Column","QuarterNo"
"LocalDateTable_c48bd7eb-f36a-4c42-b30d-37d61778fd23","Column","Year"
"map_product_to_terumo_category","Column","product_group_key"
"map_product_to_terumo_category","Column","product_group_text"
"map_product_to_terumo_category","Column","product_subgroup_key"
"map_product_to_terumo_category","Column","product_subgroup_text"
"map_product_to_terumo_category","Column","terumo_category"
"map_product_to_terumo_category","Column","terumo_category_key"
"mapping_estimates_detail","Column","assumption_notes"
"mapping_estimates_detail","Column","component_family"
"mapping_estimates_detail","Column","confidence"
"mapping_estimates_detail","Column","procedure_group"
"mapping_estimates_detail","Column","procedure_group_key"
"mapping_estimates_detail","Column","product_group_text"
"mapping_estimates_detail","Column","product_subgroup_text"
"mapping_estimates_detail","Column","profit_center"
"mapping_estimates_detail","Column","qty_expected"
"mapping_estimates_detail","Column","qty_max"
"mapping_estimates_detail","Column","qty_min"
"mapping_estimates_detail","Column","qty_mode"
"mapping_estimates_detail","Column","terumo_category"
"mapping_estimates_detail","Column","terumo_category_key"
"Measurement Collections","Measure","FY ASP CY"
"Measurement Collections","Measure","FY ASP LY"
"Measurement Collections","Measure","FY ASP LY2"
"Measurement Collections","Measure","FY ASP Plan"
"Measurement Collections","Measure","FY DC CY"
"Measurement Collections","Measure","FY DC LY"
"Measurement Collections","Measure","FY DC LY2"
"Measurement Collections","Measure","FY DC Plan"
"Measurement Collections","Measure","FY Figures CY"
"Measurement Collections","Measure","FY Figures LY"
"Measurement Collections","Measure","FY Figures LY2"
"Measurement Collections","Measure","FY Figures Plan"
"Measurement Collections","Measure","FY Figures vsLY"
"Measurement Collections","Measure","FY Figures vsLY%"
"Measurement Collections","Measure","FY Figures vsLY2"
"Measurement Collections","Measure","FY Figures vsLY2%"
"Measurement Collections","Measure","FY Figures vsPlan"
"Measurement Collections","Measure","FY Figures vsPlan%"
"Measurement Collections","Measure","FY GP CY"
"Measurement Collections","Measure","FY GP LY"
"Measurement Collections","Measure","FY GP LY2"
"Measurement Collections","Measure","FY GP Plan"
"Measurement Collections","Measure","FY GP% CY"
"Measurement Collections","Measure","FY GP% LY"
"Measurement Collections","Measure","FY GP% LY2"
"Measurement Collections","Measure","FY GP% Plan"
"Measurement Collections","Measure","FY Sales CY"
"Measurement Collections","Measure","FY Sales LY"
"Measurement Collections","Measure","FY Sales LY2"
"Measurement Collections","Measure","FY Sales Plan"
"Measurement Collections","Measure","FY Units CY"
"Measurement Collections","Measure","FY Units LY"
"Measurement Collections","Measure","FY Units LY2"
"Measurement Collections","Measure","FY Units Plan"
"Sales_Category","Column","Country Name"
"Sales_Category","Column","CountryIso2"
"Sales_Category","Column","Customer Combined"
"Sales_Category","Column","Customer Id"
"Sales_Category","Column","Customer Name"
"Sales_Category","Column","Customer Segment"
"Sales_Category","Column","Qty Sold"
"Sales_Category","Column","Sales EUR"
"Sales_Category","Column","Terumo Category"
"Sales_Category","Column","Year"
"Shp_Dim_Country_Hierarchy","Column","Branch Code"
"Shp_Dim_Country_Hierarchy","Column","Branch Name"
"Shp_Dim_Country_Hierarchy","Column","Business Area"
"Shp_Dim_Country_Hierarchy","Column","Cluster"
"Shp_Dim_Country_Hierarchy","Column","Country"
"Shp_Dim_Country_Hierarchy","Column","Country Final Destination"
"Shp_Dim_Country_Hierarchy","Column","Country Final Destination Text"
"Shp_Dim_Country_Hierarchy","Column","Country Text"
"Shp_Dim_Country_Hierarchy","Column","Direct/Distrib"
"Shp_Dim_Country_Hierarchy","Column","Index_Branch_CountryFinalDestination"
"Shp_Dim_Country_Hierarchy","Column","Region"
"Shp_Dim_SalesRep_Hierarchy","Column","Business Area Code"
"Shp_Dim_SalesRep_Hierarchy","Column","Employee email Regional Sales Manager"
"Shp_Dim_SalesRep_Hierarchy","Column","Employee Email Sales Manager"
"Shp_Dim_SalesRep_Hierarchy","Column","Employee email Sales Reps"
"Shp_Dim_SalesRep_Hierarchy","Column","Employee Name Regional Sales Manager"
"Shp_Dim_SalesRep_Hierarchy","Column","Employee Name Sales Manager"
"Shp_Dim_SalesRep_Hierarchy","Column","Employee Name Sales Reps"
"Shp_Dim_SalesRep_Hierarchy","Column","Employee Number Regional Sales Manager"
"Shp_Dim_SalesRep_Hierarchy","Column","Employee Number Sales Manager"
"Shp_Dim_SalesRep_Hierarchy","Column","Employee Number Sales Reps"
"Shp_Dim_SalesRep_Hierarchy","Column","Index_Reps_ProductAreaCode"
"Shp_Dim_SalesRep_Hierarchy","Column","Product Area Code"
"Shp_Dim_SalesRep_Hierarchy","Column","Sales Organisation"
"Shp_Dim_SalesRep_Hierarchy","Column","Sales Representative Code"
"Target RI","Column","Value"
"UK-IE","Column","Business Area"
"UK-IE","Column","Business Area Text"
"UK-IE","Column","Country"
"UK-IE","Column","Country Text"
"UK-IE","Column","Current TIS Segmentation Reference (T360)"
"UK-IE","Column","Customer"
"UK-IE","Column","Customer Name"
"UK-IE","Column","Final Destination"
"UK-IE","Column","Final Destination Text"
"UK-IE","Column","HCO (Y/N)"
"UK-IE","Column","House number and street"
"UK-IE","Column","key total"
"UK-IE","Column","Location"
"UK-IE","Column","New Relevant Flag"
"UK-IE","Column","Number of Procedures Done"
"UK-IE","Column","Original Sales Org"
"UK-IE","Column","Postal Code"
"UK-IE","Column","Procedure"
"UK-IE","Column","Procedure Year"
"UK-IE","Column","Relevant Account Flag - For Customer column"
"UK-IE","Column","Relevant Account Flag - For Final Destination"
"UK-IE","Column","Tax Number"
