"Page","VisualId","VisualType","Role","ProjectionIndex","Entity","Property","FieldKind","QueryRef","VisualPath"
"How to win — Growth targets","1c8dab52f908c568","tableEx","Values","6","fact_market_potential","MS Current vs Target Status","Measure","Sum(fact_market_potential.MS Current vs Target Status)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\1c8dab52f908c568\visual.json"
"How to win — Growth targets","23314d0f411d39d3","tableEx","Values","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\23314d0f411d39d3\visual.json"
"How to win — Growth targets","23314d0f411d39d3","tableEx","Values","2","fact_market_potential","MS Realization Index","Measure","Sum(fact_market_potential.MS Realization Index)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\23314d0f411d39d3\visual.json"
"How to win — Growth targets","23314d0f411d39d3","tableEx","Values","3","fact_market_potential","MS Mix Index","Measure","Sum(fact_market_potential.MS Mix Index)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\23314d0f411d39d3\visual.json"
"How to win — Growth targets","23314d0f411d39d3","tableEx","Values","4","fact_market_potential","MS Units to Target","Measure","Sum(fact_market_potential.MS Units to Target)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\23314d0f411d39d3\visual.json"
"How to win — Growth targets","23314d0f411d39d3","tableEx","Values","5","fact_market_potential","MS Current vs Target Status","Measure","Sum(fact_market_potential.MS Current vs Target Status)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\23314d0f411d39d3\visual.json"
"How to win — In this account","038f0a5c69419ec0","cardVisual","Values","1","fact_market_potential","Pot Realized Sales EUR","Measure","Sum(fact_market_potential.Pot Realized Sales EUR)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\038f0a5c69419ec0\visual.json"
"How to win — In this account","076241e2653c4df7","cardVisual","Values","1","fact_market_potential","MS Customer Strength Badge","Measure","Sum(fact_market_potential.MS Customer Strength Badge)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\076241e2653c4df7\visual.json"
"How to win — In this account","50a2f931b794a078","cardVisual","Values","1","fact_market_potential","MS Realization Index","Measure","Sum(fact_market_potential.MS Realization Index)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\50a2f931b794a078\visual.json"
"How to win — In this account","62dff02efdfa0f82","cardVisual","Values","1","fact_market_potential","Pot Total Potential Units","Measure","Sum(fact_market_potential.Pot Total Potential Units)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\62dff02efdfa0f82\visual.json"
"How to win — In this account","68c842f01a5e38ac","cardVisual","Values","1","fact_market_potential","Pot Realized Qty","Measure","Sum(fact_market_potential.Pot Realized Qty)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\68c842f01a5e38ac\visual.json"
"How to win — In this account","84f041aa29928a68","cardVisual","Values","1","fact_market_potential","MS Whitespace Count","Measure","Sum(fact_market_potential.MS Whitespace Count)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\84f041aa29928a68\visual.json"
"How to win — In this account","ca8a562d161290cd","cardVisual","Values","1","fact_market_potential","MS Category Coverage","Measure","Sum(fact_market_potential.MS Category Coverage)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\ca8a562d161290cd\visual.json"
"How to win — In this account","5e46d7b686463400","clusteredBarChart","Category","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\5e46d7b686463400\visual.json"
"How to win — In this account","5e46d7b686463400","clusteredBarChart","Y","1","fact_market_potential","MS Realization Index","Measure","Sum(fact_market_potential.MS Realization Index)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\5e46d7b686463400\visual.json"
"How to win — In this account","0cf42a087b0795a9","slicer","Field","1","Dim_Cust","Customer Name","Column","Dim_Cust.Customer Name","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\0cf42a087b0795a9\visual.json"
"How to win — In this account","4dbba6ba4b73bd13","slicer","Field","1","fact_market_potential","customer_segment","Column","fact_market_potential.customer_segment","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\4dbba6ba4b73bd13\visual.json"
"How to win — In this account","ac36277a34c2303d","slicer","Field","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\ac36277a34c2303d\visual.json"
"How to win — In this account","d361a601d48cc0da","slicer","Field","1","Shp_Dim_Country_Hierarchy","Country Text","Column","Shp_Dim_Country_Hierarchy.Country Text","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\d361a601d48cc0da\visual.json"
"How to win — In this account","35d4af63a3508cfc","tableEx","Values","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\35d4af63a3508cfc\visual.json"
"How to win — In this account","35d4af63a3508cfc","tableEx","Values","2","fact_market_potential","MS Customer Category Mix","Measure","Sum(fact_market_potential.MS Customer Category Mix)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\35d4af63a3508cfc\visual.json"
"How to win — In this account","35d4af63a3508cfc","tableEx","Values","3","fact_market_potential","MS National Category Mix","Measure","Sum(fact_market_potential.MS National Category Mix)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\35d4af63a3508cfc\visual.json"
"How to win — In this account","35d4af63a3508cfc","tableEx","Values","4","fact_market_potential","MS Mix Index","Measure","Sum(fact_market_potential.MS Mix Index)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\35d4af63a3508cfc\visual.json"
"How to win — In this account","35d4af63a3508cfc","tableEx","Values","5","fact_market_potential","MS Realization Index","Measure","Sum(fact_market_potential.MS Realization Index)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\35d4af63a3508cfc\visual.json"
"How to win — In this account","35d4af63a3508cfc","tableEx","Values","6","fact_market_potential","MS Customer Action Badge","Measure","Sum(fact_market_potential.MS Customer Action Badge)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\1e25c6fb43f75674\visuals\35d4af63a3508cfc\visual.json"
"Where to go — Customers","0894b93bbcfcaf19","cardVisual","Values","1","fact_market_potential","Pot Realized Sales EUR","Measure","Sum(fact_market_potential.Pot Realized Sales EUR)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\0894b93bbcfcaf19\visual.json"
"Where to go — Customers","76adea487c71688b","cardVisual","Values","1","fact_market_potential","MS National Realization Pct","Measure","Sum(fact_market_potential.MS National Realization Pct)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\76adea487c71688b\visual.json"
"Where to go — Customers","85d4f5c87e1efd3b","cardVisual","Values","1","fact_market_potential","Pot Realized Qty","Measure","Sum(fact_market_potential.Pot Realized Qty)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\85d4f5c87e1efd3b\visual.json"
"Where to go — Customers","66b6549ce6ab5ae4","scatterChart","Details","1","Dim_Cust","Customer Name","Column","Dim_Cust.Customer Name","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\66b6549ce6ab5ae4\visual.json"
"Where to go — Customers","66b6549ce6ab5ae4","scatterChart","Legend","1","fact_market_potential","MS Customer Action Badge","Measure","Sum(fact_market_potential.MS Customer Action Badge)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\66b6549ce6ab5ae4\visual.json"
"Where to go — Customers","66b6549ce6ab5ae4","scatterChart","Size","1","fact_market_potential","MS Weighted Opportunity Score","Measure","Sum(fact_market_potential.MS Weighted Opportunity Score)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\66b6549ce6ab5ae4\visual.json"
"Where to go — Customers","66b6549ce6ab5ae4","scatterChart","X","1","fact_market_potential","Pot Realized Qty","Measure","Sum(fact_market_potential.Pot Realized Qty)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\66b6549ce6ab5ae4\visual.json"
"Where to go — Customers","66b6549ce6ab5ae4","scatterChart","Y","1","fact_market_potential","MS Category Coverage","Measure","Sum(fact_market_potential.MS Category Coverage)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\66b6549ce6ab5ae4\visual.json"
"Where to go — Customers","25993e2d346f580c","slicer","Field","1","fact_market_potential","customer_segment","Column","fact_market_potential.customer_segment","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\25993e2d346f580c\visual.json"
"Where to go — Customers","674f54ac67de62b7","slicer","Field","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\674f54ac67de62b7\visual.json"
"Where to go — Customers","afb7ff882d462674","slicer","Field","1","Shp_Dim_Country_Hierarchy","Country Text","Column","Shp_Dim_Country_Hierarchy.Country Text","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\afb7ff882d462674\visual.json"
"Where to go — Customers","b65715b91b2b51e5","tableEx","Values","1","Dim_Cust","Customer Name","Column","Dim_Cust.Customer Name","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\b65715b91b2b51e5\visual.json"
"Where to go — Customers","b65715b91b2b51e5","tableEx","Values","2","fact_market_potential","Pot Realized Qty","Measure","Sum(fact_market_potential.Pot Realized Qty)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\b65715b91b2b51e5\visual.json"
"Where to go — Customers","b65715b91b2b51e5","tableEx","Values","3","fact_market_potential","Pot Realized Sales EUR","Measure","Sum(fact_market_potential.Pot Realized Sales EUR)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\b65715b91b2b51e5\visual.json"
"Where to go — Customers","b65715b91b2b51e5","tableEx","Values","4","fact_market_potential","MS Realization Index","Measure","Sum(fact_market_potential.MS Realization Index)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\b65715b91b2b51e5\visual.json"
"Where to go — Customers","b65715b91b2b51e5","tableEx","Values","5","fact_market_potential","MS Category Coverage","Measure","Sum(fact_market_potential.MS Category Coverage)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\b65715b91b2b51e5\visual.json"
"Where to go — Customers","b65715b91b2b51e5","tableEx","Values","6","fact_market_potential","MS Whitespace Count","Measure","Sum(fact_market_potential.MS Whitespace Count)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\b65715b91b2b51e5\visual.json"
"Where to go — Customers","b65715b91b2b51e5","tableEx","Values","7","fact_market_potential","Pot Gap Units","Measure","Sum(fact_market_potential.Pot Gap Units)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\b65715b91b2b51e5\visual.json"
"Where to go — Customers","b65715b91b2b51e5","tableEx","Values","8","fact_market_potential","MS Account Priority Score","Measure","Sum(fact_market_potential.MS Account Priority Score)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\b65715b91b2b51e5\visual.json"
"Where to go — Customers","b65715b91b2b51e5","tableEx","Values","9","fact_market_potential","MS Customer Action Badge","Measure","Sum(fact_market_potential.MS Customer Action Badge)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a9b627c1a8f24c99\visuals\b65715b91b2b51e5\visual.json"
"Where to go — Products","58a8fd61b5713ede","cardVisual","Values","1","fact_market_potential","Pot Realization %","Measure","Sum(fact_market_potential.Pot Realization %)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\58a8fd61b5713ede\visual.json"
"Where to go — Products","5f8d8b1bb48776e9","cardVisual","Values","1","fact_market_potential","Pot Gap Units","Measure","Sum(fact_market_potential.Pot Gap Units)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\5f8d8b1bb48776e9\visual.json"
"Where to go — Products","7b878f17e0fc0b36","cardVisual","Values","1","fact_market_potential","Pot Realized Sales EUR","Measure","Sum(fact_market_potential.Pot Realized Sales EUR)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\7b878f17e0fc0b36\visual.json"
"Where to go — Products","8e3f9ea6c01cdbe9","cardVisual","Values","1","fact_market_potential","Pot Total Potential Units","Measure","Sum(fact_market_potential.Pot Total Potential Units)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\8e3f9ea6c01cdbe9\visual.json"
"Where to go — Products","ab4e847ba4d4a778","cardVisual","Values","1","fact_market_potential","Pot Gap EUR","Measure","Sum(fact_market_potential.Pot Gap EUR)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\ab4e847ba4d4a778\visual.json"
"Where to go — Products","e7b7dfc6168b75d2","cardVisual","Values","1","fact_market_potential","Pot Realized Qty","Measure","Sum(fact_market_potential.Pot Realized Qty)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\e7b7dfc6168b75d2\visual.json"
"Where to go — Products","45765a46ce86b3e2","clusteredBarChart","Category","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\45765a46ce86b3e2\visual.json"
"Where to go — Products","45765a46ce86b3e2","clusteredBarChart","Y","1","fact_market_potential","MS Category Revenue Share","Measure","Sum(fact_market_potential.MS Category Revenue Share)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\45765a46ce86b3e2\visual.json"
"Where to go — Products","88d924737fd419ff","clusteredBarChart","Category","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\88d924737fd419ff\visual.json"
"Where to go — Products","88d924737fd419ff","clusteredBarChart","Y","1","fact_market_potential","Pot Realization %","Measure","Sum(fact_market_potential.Pot Realization %)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\88d924737fd419ff\visual.json"
"Where to go — Products","f203526a193ce077","clusteredBarChart","Category","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\f203526a193ce077\visual.json"
"Where to go — Products","f203526a193ce077","clusteredBarChart","Y","1","fact_market_potential","Pot Gap Units","Measure","Sum(fact_market_potential.Pot Gap Units)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\f203526a193ce077\visual.json"
"Where to go — Products","72de9da299d1c417","slicer","Field","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\72de9da299d1c417\visual.json"
"Where to go — Products","c898a4e940873c0e","slicer","Field","1","Shp_Dim_Country_Hierarchy","Country Text","Column","Shp_Dim_Country_Hierarchy.Country Text","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\c898a4e940873c0e\visual.json"
"Where to go — Products","e4f7774d024c8977","slicer","Field","1","dim_procedure","procedure_group","Column","dim_procedure.procedure_group","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\WhereToGo_Products\visuals\e4f7774d024c8977\visual.json"
