customer_id_,customer_id,customer_name,country_iso2,country_text,customer_market_key
100060,100060,Clínica Granada,ES,Southern Europe,CM_100060
100061,100061,AMC Amsterdam,NL,Western Europe,CM_100061
100062,100062,Erasmus MC Rotterdam,NL,Western Europe,CM_100062
100063,100063,UMC Utrecht,NL,Western Europe,CM_100063
100064,100064,Catharina Ziekenhuis Eindhoven,NL,Western Europe,CM_100064
100065,100065,Sint Antonius Groningen,NL,Western Europe,CM_100065
100066,100066,AMC Nijmegen,NL,Western Europe,CM_100066
100067,100067,Erasmus MC Leiden,NL,Western Europe,CM_100067
100068,100068,UMC Maastricht,NL,Western Europe,CM_100068
100069,100069,Catharina Ziekenhuis Tilburg,NL,Western Europe,CM_100069
100070,100070,Sint Antonius Den Haag,NL,Western Europe,CM_100070
100071,100071,AMC Breda,NL,Western Europe,CM_100071
100072,100072,Erasmus MC Arnhem,NL,Western Europe,CM_100072
100073,100073,UZ Brussels,BE,Western Europe,CM_100073
100074,100074,CHU Antwerp,BE,Western Europe,CM_100074
100075,100075,AZ Ghent,BE,Western Europe,CM_100075
100076,100076,OLV Ziekenhuis Leuven,BE,Western Europe,CM_100076
100077,100077,Cliniques Universitaires Liège,BE,Western Europe,CM_100077
100078,100078,UZ Bruges,BE,Western Europe,CM_100078
100079,100079,CHU Charleroi,BE,Western Europe,CM_100079
100080,100080,AZ Namur,BE,Western Europe,CM_100080
100081,100081,OLV Ziekenhuis Hasselt,BE,Western Europe,CM_100081
100082,100082,Cliniques Universitaires Mechelen,BE,Western Europe,CM_100082
100083,100083,UZ Kortrijk,BE,Western Europe,CM_100083
100084,100084,CHU Mons,BE,Western Europe,CM_100084
100085,100085,Szpital Kliniczny Warsaw,PL,Eastern Europe,CM_100085
100086,100086,Instytut Kardiologii Krakow,PL,Eastern Europe,CM_100086
100087,100087,Centrum Medyczne Wroclaw,PL,Eastern Europe,CM_100087
100088,100088,Szpital Wojewódzki Poznan,PL,Eastern Europe,CM_100088
100089,100089,Klinika Kardiochirurgii Gdansk,PL,Eastern Europe,CM_100089
100090,100090,Szpital Kliniczny Katowice,PL,Eastern Europe,CM_100090
100091,100091,Instytut Kardiologii Lodz,PL,Eastern Europe,CM_100091
100092,100092,Centrum Medyczne Lublin,PL,Eastern Europe,CM_100092
100093,100093,Szpital Wojewódzki Bialystok,PL,Eastern Europe,CM_100093
100094,100094,Klinika Kardiochirurgii Szczecin,PL,Eastern Europe,CM_100094
100095,100095,Szpital Kliniczny Bydgoszcz,PL,Eastern Europe,CM_100095
100096,100096,Instytut Kardiologii Rzeszow,PL,Eastern Europe,CM_100096
100097,100097,Üniversitesi Hastanesi Istanbul,TR,MENA,CM_100097
100098,100098,Kalp Merkezi Ankara,TR,MENA,CM_100098
100099,100099,Devlet Hastanesi Izmir,TR,MENA,CM_100099
100100,100100,Eğitim Araştırma Antalya,TR,MENA,CM_100100
100101,100101,Özel Hastane Bursa,TR,MENA,CM_100101
100102,100102,Üniversitesi Hastanesi Adana,TR,MENA,CM_100102
100103,100103,Kalp Merkezi Konya,TR,MENA,CM_100103
100104,100104,Devlet Hastanesi Gaziantep,TR,MENA,CM_100104
100105,100105,Eğitim Araştırma Mersin,TR,MENA,CM_100105
100106,100106,Özel Hastane Kayseri,TR,MENA,CM_100106
100107,100107,Üniversitesi Hastanesi Eskisehir,TR,MENA,CM_100107
100108,100108,Kalp Merkezi Trabzon,TR,MENA,CM_100108
100109,100109,Karolinska Stockholm,SE,Northern Europe,CM_100109
100110,100110,Sahlgrenska Gothenburg,SE,Northern Europe,CM_100110
100111,100111,Skånes Universitetssjukhus Malmö,SE,Northern Europe,CM_100111
100112,100112,Uppsala Akademiska Uppsala,SE,Northern Europe,CM_100112
100113,100113,Danderyds sjukhus Linköping,SE,Northern Europe,CM_100113
100114,100114,Karolinska Örebro,SE,Northern Europe,CM_100114
100115,100115,Sahlgrenska Lund,SE,Northern Europe,CM_100115
100116,100116,Skånes Universitetssjukhus Umeå,SE,Northern Europe,CM_100116
100117,100117,Uppsala Akademiska Västerås,SE,Northern Europe,CM_100117
100118,100118,Danderyds sjukhus Karlstad,SE,Northern Europe,CM_100118
100119,100119,Karolinska Jönköping,SE,Northern Europe,CM_100119
100120,100120,Sahlgrenska Norrköping,SE,Northern Europe,CM_100120
