region_group,country_code,country_name,country_iso2,country_text,customer_id_,customer_id,customer_name,customer_segment,Final Destination,Final Destination Text,year,procedure_group,terumo_category,terumo_category_key,qty_units_per_procedure,mapping_row_count,procedures,usage_rate_final,mapping_cardinality,allocation_weight,customer_market_key,final_destination_key
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Complex,Microcatheters,TC006,1.0,1,1913,0.65,5,0.2,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Diagnostic Angiography,Diagnostic Catheters,TC005,2.0,1,700,0.95,5,0.2,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Diagnostic Angiography,Guide Wires,TC002,1.5,1,700,0.9,5,0.2,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Diagnostic Angiography,Introducer Sheaths,TC007,1.0,1,700,0.85,5,0.2,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Diagnostic Angiography,Hemostasis Valves,TC008,1.0,1,700,0.7,5,0.2,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Diagnostic Angiography,Radial Access Kits,TC010,1.0,1,700,0.5,5,0.2,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Neurovascular Intervention,Microcatheters,TC006,2.0,1,1827,0.95,2,0.5,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Neurovascular Intervention,Guide Wires,TC002,2.0,1,1827,0.9,2,0.5,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Peripheral Intervention,Guide Wires,TC002,2.5,1,539,0.9,3,0.3333,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Peripheral Intervention,Introducer Sheaths,TC007,1.5,1,539,0.8,3,0.3333,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Peripheral Intervention,PTCA Balloon Catheters,TC003,1.0,1,539,0.6,3,0.3333,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Coronary,Guiding Catheters,TC001,1.2,1,2176,0.95,7,0.1429,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Coronary,Guide Wires,TC002,2.0,1,2176,0.98,7,0.1429,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Coronary,PTCA Balloon Catheters,TC003,1.5,1,2176,0.85,7,0.1429,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Coronary,Drug-Eluting Stents,TC004,1.3,1,2176,0.7,7,0.1429,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Coronary,Inflation Devices,TC009,1.0,1,2176,0.9,7,0.1429,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Coronary,Hemostasis Valves,TC008,1.0,1,2176,0.8,7,0.1429,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Coronary,Radial Access Kits,TC010,1.0,1,2176,0.6,7,0.1429,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Structural Heart,Introducer Sheaths,TC007,2.0,1,961,0.85,2,0.5,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Structural Heart,Guide Wires,TC002,1.0,1,961,0.7,2,0.5,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Electrophysiology,Diagnostic Catheters,TC005,3.0,1,1472,0.8,2,0.5,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,Electrophysiology,Introducer Sheaths,TC007,1.0,1,1472,0.75,2,0.5,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,Diagnostic Angiography,Diagnostic Catheters,TC005,2.0,1,268,0.95,5,0.2,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,Diagnostic Angiography,Guide Wires,TC002,1.5,1,268,0.9,5,0.2,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,Diagnostic Angiography,Introducer Sheaths,TC007,1.0,1,268,0.85,5,0.2,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,Diagnostic Angiography,Hemostasis Valves,TC008,1.0,1,268,0.7,5,0.2,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,Diagnostic Angiography,Radial Access Kits,TC010,1.0,1,268,0.5,5,0.2,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,PCI - Coronary,Guiding Catheters,TC001,1.2,1,444,0.95,7,0.1429,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,PCI - Coronary,Guide Wires,TC002,2.0,1,444,0.98,7,0.1429,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,PCI - Coronary,PTCA Balloon Catheters,TC003,1.5,1,444,0.85,7,0.1429,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,PCI - Coronary,Drug-Eluting Stents,TC004,1.3,1,444,0.7,7,0.1429,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,PCI - Coronary,Inflation Devices,TC009,1.0,1,444,0.9,7,0.1429,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,PCI - Coronary,Hemostasis Valves,TC008,1.0,1,444,0.8,7,0.1429,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,PCI - Coronary,Radial Access Kits,TC010,1.0,1,444,0.6,7,0.1429,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,Neurovascular Intervention,Microcatheters,TC006,2.0,1,878,0.95,2,0.5,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100004,100004,Städtisches Krankenhaus Frankfurt,Public Hospital,200004,FD Städtisches Krankenhaus Frankfurt,2024,Neurovascular Intervention,Guide Wires,TC002,2.0,1,878,0.9,2,0.5,CM_100004,FD_200004
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Complex,Guiding Catheters,TC001,1.5,1,555,0.98,5,0.2,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Complex,Guide Wires,TC002,3.0,1,555,0.99,5,0.2,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Complex,PTCA Balloon Catheters,TC003,2.0,1,555,0.9,5,0.2,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Complex,Drug-Eluting Stents,TC004,2.0,1,555,0.8,5,0.2,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Complex,Microcatheters,TC006,1.0,1,555,0.65,5,0.2,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Coronary,Guiding Catheters,TC001,1.2,1,592,0.95,7,0.1429,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Coronary,Guide Wires,TC002,2.0,1,592,0.98,7,0.1429,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Coronary,PTCA Balloon Catheters,TC003,1.5,1,592,0.85,7,0.1429,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Coronary,Drug-Eluting Stents,TC004,1.3,1,592,0.7,7,0.1429,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Coronary,Inflation Devices,TC009,1.0,1,592,0.9,7,0.1429,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Coronary,Hemostasis Valves,TC008,1.0,1,592,0.8,7,0.1429,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,PCI - Coronary,Radial Access Kits,TC010,1.0,1,592,0.6,7,0.1429,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,Structural Heart,Introducer Sheaths,TC007,2.0,1,476,0.85,2,0.5,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100005,100005,St. Vinzenz-Hospital Cologne,Public Hospital,200005,FD St. Vinzenz-Hospital Cologne,2024,Structural Heart,Guide Wires,TC002,1.0,1,476,0.7,2,0.5,CM_100005,FD_200005
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,Diagnostic Angiography,Diagnostic Catheters,TC005,2.0,1,510,0.95,5,0.2,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,Diagnostic Angiography,Guide Wires,TC002,1.5,1,510,0.9,5,0.2,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,Diagnostic Angiography,Introducer Sheaths,TC007,1.0,1,510,0.85,5,0.2,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,Diagnostic Angiography,Hemostasis Valves,TC008,1.0,1,510,0.7,5,0.2,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,Diagnostic Angiography,Radial Access Kits,TC010,1.0,1,510,0.5,5,0.2,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,Structural Heart,Introducer Sheaths,TC007,2.0,1,1138,0.85,2,0.5,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,Structural Heart,Guide Wires,TC002,1.0,1,1138,0.7,2,0.5,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,Peripheral Intervention,Guide Wires,TC002,2.5,1,1873,0.9,3,0.3333,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,Peripheral Intervention,Introducer Sheaths,TC007,1.5,1,1873,0.8,3,0.3333,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,Peripheral Intervention,PTCA Balloon Catheters,TC003,1.0,1,1873,0.6,3,0.3333,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,PCI - Complex,Guiding Catheters,TC001,1.5,1,873,0.98,5,0.2,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,PCI - Complex,Guide Wires,TC002,3.0,1,873,0.99,5,0.2,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,PCI - Complex,PTCA Balloon Catheters,TC003,2.0,1,873,0.9,5,0.2,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,PCI - Complex,Drug-Eluting Stents,TC004,2.0,1,873,0.8,5,0.2,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100006,100006,Universitätsklinikum Stuttgart,University Hospital,200006,FD Universitätsklinikum Stuttgart,2024,PCI - Complex,Microcatheters,TC006,1.0,1,873,0.65,5,0.2,CM_100006,FD_200006
Central Europe,DE,Central Europe,DE,Central Europe,100007,100007,Klinikum Düsseldorf,University Hospital,200007,FD Klinikum Düsseldorf,2024,Electrophysiology,Diagnostic Catheters,TC005,3.0,1,802,0.8,2,0.5,CM_100007,FD_200007
Central Europe,DE,Central Europe,DE,Central Europe,100007,100007,Klinikum Düsseldorf,University Hospital,200007,FD Klinikum Düsseldorf,2024,Electrophysiology,Introducer Sheaths,TC007,1.0,1,802,0.75,2,0.5,CM_100007,FD_200007
Central Europe,DE,Central Europe,DE,Central Europe,100007,100007,Klinikum Düsseldorf,University Hospital,200007,FD Klinikum Düsseldorf,2024,Peripheral Intervention,Guide Wires,TC002,2.5,1,716,0.9,3,0.3333,CM_100007,FD_200007
Central Europe,DE,Central Europe,DE,Central Europe,100007,100007,Klinikum Düsseldorf,University Hospital,200007,FD Klinikum Düsseldorf,2024,Peripheral Intervention,Introducer Sheaths,TC007,1.5,1,716,0.8,3,0.3333,CM_100007,FD_200007
